income,sex,eth,focc,fedu,mocc,medu,weights
7490.341933,1,1,9,1,9,0,39.517838
18417.11073,1,1,7,1,9,0,384.48785
6910.554333,1,1,9,1,9,0,489.79459
2093.856333,1,3,9,1,9,3,221.55588
5661.780933,1,1,9,1,10,0,61.73151
4636.002633,2,3,9,1,7,10,126.34595
3869.790733,2,1,10,9,9,8,1644.3702
5505.728733,1,3,6,9,9,8,170.11383
6152.370333,1,1,8,3,10,4,235.41245
2004.663533,1,1,10,9,9,8,143.97496
3837.202033,1,1,10,1,10,8,84.430161
3663.743133,1,1,10,9,10,7,248.10707
1458.507233,1,1,8,1,5,9,438.03842
4368.407933,1,1,7,1,10,0,1103.5408
2718.243133,2,1,7,4,9,6,159.33133
4681.204233,2,1,5,1,10,0,36.471397
16909.21873,2,2,7,1,10,0,305.92758
12004.34073,1,1,10,1,10,8,125.82724
3390.796833,2,1,6,10,5,10,783.30499
10527.32573,1,1,7,7,9,7,394.98145
6089.931833,1,1,7,4,10,4,278.18188
4991.010933,2,3,9,8,10,8,643.71887
4973.225233,2,1,9,1,9,0,355.80408
8944.270633,1,1,9,1,9,8,468.35513
3611.937133,2,1,9,1,9,0,509.99817
5572.582733,1,1,7,1,9,0,911.41113
2495.247733,2,1,8,8,10,0,536.59808
9729.214033,1,1,8,1,9,0,52.608044
14554.83173,1,1,10,6,10,8,165.23172
16603.4154,2,4,7,9,4,12,181.69302
3003.677133,1,1,8,6,9,7,153.99796
11459.65773,2,1,10,1,10,0,843.15973
8426.922033,1,1,5,12,9,9,292.51556
2361.450633,1,1,10,1,10,0,1988.4856
2629.045133,2,1,10,1,10,0,1883.5177
10210.88373,1,3,10,1,9,0,161.76889
7676.327833,1,1,10,1,10,0,307.42438
5019.554333,1,1,8,6,10,0,2893.0154
4769.799533,2,1,8,2,10,2,2773.7515
4413.007033,2,1,9,8,5,8,1048.9797
6323.028933,1,1,10,1,9,0,232.99571
3119.634733,1,1,9,1,9,0,354.65631
7684.553433,1,1,8,1,9,4,47.937611
4234.611033,1,1,10,1,10,0,283.41937
15057.3154,1,1,7,1,10,0,539.05756
5937.713533,2,3,9,1,9,0,52.148865
1826.262033,1,1,8,1,9,0,1908.1045
6018.572933,1,3,10,11,3,0,435.42044
9318.903533,1,1,9,1,9,0,368.98105
5750.978733,2,1,10,9,10,8,759.51318
1246.474333,1,1,8,3,10,0,89.615219
6892.966033,1,1,10,7,10,3,187.41045
6357.526033,1,1,10,1,10,0,107.64954
1478.389433,2,1,10,1,10,0,115.21341
755.1367026,1,1,10,1,10,0,177.70963
5304.988433,2,3,5,5,9,8,488.63449
19041.49673,2,1,10,6,10,7,417.58408
3253.431833,2,1,10,1,9,0,217.96661
2450.648833,2,1,5,9,10,9,439.52866
1915.460133,2,1,10,1,10,0,2097.8325
8872.912233,1,1,10,1,10,6,1223.918
3413.988433,1,1,9,2,10,0,362.83578
993.2875326,1,1,10,1,10,0,287.46909
1216.842433,1,1,10,11,10,0,183.68048
3358.685433,1,1,10,1,9,0,127.75555
4145.412733,1,1,9,1,9,0,80.672928
1915.460133,2,1,9,1,9,8,495.75342
5046.455233,2,3,10,1,10,0,170.78055
20379.46873,1,4,7,11,4,10,853.71521
1291.073433,2,1,9,1,10,0,455.5528
4479.471333,2,1,2,9,9,7,185.68642
622.0875726,1,1,10,1,10,0,1243.5363
2629.045133,1,1,10,1,10,0,202.80127
6196.969433,1,1,7,7,9,5,536.24902
2049.257233,2,1,5,1,10,0,816.34192
11370.45973,2,1,9,1,9,0,1361.0714
2700.403533,1,1,9,1,10,0,100.07554
2093.856333,1,1,10,1,9,0,327.53821
12173.24273,2,1,10,9,10,3,41.7001
5626.101233,1,3,9,1,9,0,264.82178
5269.309233,1,1,8,1,9,0,246.43484
10969.06873,1,1,9,1,9,0,225.60344
4708.255033,2,3,9,1,9,0,341.20697
8186.087133,1,1,9,5,9,4,1036.6144
13885.84573,1,1,10,1,10,0,1294.6442
1754.903533,1,3,5,9,9,0,75.39312
4640.598833,2,1,5,1,10,0,517.8559
10656.8744,1,4,9,11,2,12,299.49933
20679.19573,1,2,9,4,10,0,351.98727
10032.48873,2,1,9,11,9,0,544.62213
2629.045133,1,1,7,6,9,11,133.35887
898.6016726,1,1,8,1,10,0,1028.0908
1683.545133,1,1,10,1,10,0,202.41028
9327.823433,1,1,8,1,9,0,3416.092
10995.82707,1,1,10,9,10,5,507.78036
3654.823133,1,1,8,5,10,5,197.91972
1558.667633,1,1,5,1,10,0,188.38307
2718.243133,2,1,10,1,10,0,260.67728
13555.81373,1,1,10,1,9,7,192.1055
488.2903926,1,1,10,1,10,0,1156.3981
4593.570033,2,1,9,1,10,0,1539.0703
2116.589533,1,1,10,1,10,0,69.606857
9265.383933,2,1,9,1,9,8,109.51224
9898.690633,1,1,10,1,9,3,201.29073
1335.672433,1,1,10,1,10,0,394.89789
3042.329733,2,1,10,1,10,0,179.09232
2144.321433,1,1,10,9,10,6,152.49239
4020.535533,1,1,9,1,10,0,209.4781
8560.718933,2,1,10,1,10,0,421.38589
2459.620733,1,2,9,1,10,0,27.723532
7207.584133,2,1,8,10,5,7,640.34662
2585.048733,1,1,10,1,10,0,970.70618
4154.332733,1,1,10,1,10,0,268.36966
5010.634433,1,1,10,1,10,0,504.99191
5394.186233,2,4,10,11,10,10,46.776199
12976.02573,2,1,9,1,10,0,400.09982
23961.46907,1,3,9,1,9,7,42.468143
3842.139333,2,1,8,1,9,0,291.91934
4475.445933,1,1,8,1,9,0,191.65027
2816.361033,1,1,9,1,9,0,96.915634
1970.745533,1,1,10,1,10,0,88.515816
1737.063933,1,1,10,1,10,0,188.83286
4718.790233,1,1,10,1,10,0,890.11121
7784.695533,2,1,9,1,9,4,160.26768
2499.707733,1,1,10,11,10,8,1172.309
