outcome,income,sex,eth,focc,fedu,mocc,medu,weights
3,7053.27113262842,1,1,10,12,2,12,1837.1536
3,2896.63933262842,1,1,10,1,10,0,117.55093
3,13154.42173262842,1,1,10,1,10,0,852.19769
3,3494.26673262842,2,1,10,1,10,0,582.09406
3,4099.62953262842,2,1,9,1,10,0,393.9455
3,2261.54973262842,1,1,10,1,10,0,334.51929
3,4858.99773262842,1,1,5,9,10,8,645.54785
2,1942.21953262842,1,1,10,1,10,6,542.86774
3,5447.44113262842,1,1,8,5,9,4,452.60623
2,1603.26673262842,1,3,9,1,9,0,208.35278
3,2004.65813262842,2,1,7,10,9,10,2150.9082
2,1166.19593262842,1,1,10,11,9,0,101.37829
3,8819.39373262842,1,1,4,1,9,0,45.099846
2,1912.83533262842,1,1,10,1,10,6,948.28381
3,5376.34683262842,2,3,3,1,10,7,48.775585
3,2049.25723262842,2,1,9,6,10,6,2616.4102
2,1612.18653262842,2,1,10,6,10,8,142.91388
3,3612.69813262842,1,1,10,1,10,0,252.43672
3,3164.23353262842,2,1,10,1,10,0,635.22937
3,6196.96943262842,1,2,10,10,10,12,1419.0798
3,2746.87783262842,1,1,9,1,9,0,54.791142
3,11950.24773262842,2,1,10,1,10,5,2287.3352
3,6375.36543262842,1,1,10,1,9,7,227.88354
3,4708.25503262842,1,1,9,3,9,0,341.20697
3,2967.99773262842,1,3,10,1,10,0,1950.8822
3,2227.65353262842,1,1,10,4,10,10,43.49226
3,14046.40273262842,2,2,7,9,10,12,107.68687
3,2004.65813262842,1,1,9,1,7,0,2150.9082
2,1291.07343262842,1,1,10,11,9,11,322.16843
3,6598.36103262842,1,1,9,5,9,8,609.42999
3,9693.53533262842,1,1,10,1,10,0,47.500423
3,14670.873732628419,1,4,8,12,2,10,435.51831
2,1166.19593262842,1,1,10,8,10,0,882.2652
2,1857.45003262842,2,1,10,1,10,0,88.265144
3,2482.59583262842,2,1,8,5,3,10,379.3844
3,3372.92543262842,1,1,10,1,10,11,45.19796
2,1201.87533262842,2,1,10,1,10,0,588.69604
3,11869.57973262842,1,1,9,7,10,8,31.133011
3,4092.7526326284196,1,1,5,1,10,0,89.46328
3,4609.24283262842,1,1,10,11,9,0,154.35168
1,845.08281262842,1,1,9,5,10,0,652.77649
3,12480.07973262842,2,1,9,1,10,0,240.25029
3,3610.22433262842,2,1,8,1,9,0,273.36713
3,9274.30383262842,1,1,10,1,10,1,30.322721
3,7490.34193262842,1,1,9,1,9,0,39.517838
4,18417.110732628422,1,1,7,1,9,0,384.48785
3,6910.55433262842,1,1,9,1,9,0,489.79459
3,2093.85633262842,1,3,9,1,9,3,221.55588
3,5661.78093262842,1,1,9,1,10,0,61.73151
3,4636.00263262842,2,3,9,1,7,10,126.34595
3,3869.79073262842,2,1,10,9,9,8,1644.3702
3,5505.72873262842,1,3,6,9,9,8,170.11383
3,6152.37033262842,1,1,8,3,10,4,235.41245
3,2004.66353262842,1,1,10,9,9,8,143.97496
3,3837.20203262842,1,1,10,1,10,8,84.430161
3,3663.74313262842,1,1,10,9,10,7,248.10707
2,1458.50723262842,1,1,8,1,5,9,438.03842
3,4368.40793262842,1,1,7,1,10,0,1103.5408
3,2718.24313262842,2,1,7,4,9,6,159.33133
3,4681.20423262842,2,1,5,1,10,0,36.471397
4,16909.21873262842,2,2,7,1,10,0,305.92758
3,12004.34073262842,1,1,10,1,10,8,125.82724
3,3390.79683262842,2,1,6,10,5,10,783.30499
3,10527.32573262842,1,1,7,7,9,7,394.98145
3,6089.93183262842,1,1,7,4,10,4,278.18188
3,4991.01093262842,2,3,9,8,10,8,643.71887
