name,iso,y,latest,region_wb,incgr,Region,var,Gini,MLD,Sample,Gini_trees_exante,MLD_trees_exante,Gini_trees_exante_rel,MLD_trees_exante_rel,Gini_rforest_exante,MLD_rforest_exante,Gini_rforest_exante_rel,MLD_rforest_exante_rel,Gini_trees_expost,MLD_trees_expost,Gini_trees_expost_rel,MLD_trees_expost_rel
Portugal,PRT,2011,0,Europe & Central Asia,High income,Europe,Income,0.3367,0.1967,6121,0.1334,0.0314,39.61983962,15.96339603,0.1465,0.0355,43.51054351,18.04778851,0.1406,0.0336,41.75824176,17.08185053
Portugal,PRT,2019,1,Europe & Central Asia,High income,Europe,Income,0.3059,0.1724,15867,0.1184,0.0243,38.7054593,14.09512761,0.1347,0.03,44.03399804,17.40139211,0.1354,0.0301,44.26283099,17.45939675
Romania,ROU,2011,0,Europe & Central Asia,High income,Europe,Income,0.3383,0.2167,6561,0.1509,0.0383,44.60537984,17.67420397,0.1443,0.0337,42.65444871,15.55145362,0.1751,0.0518,51.75879397,23.90401477
Romania,ROU,2019,1,Europe & Central Asia,High income,Europe,Income,0.3406,0.2328,7955,0.1507,0.0383,44.24544921,16.45189003,0.1436,0.0326,42.16089254,14.00343643,0.198,0.0741,58.13270699,31.82989691
Senegal,SEN,2018,1,Sub-Saharan Africa,Lower middle income,Africa,Consumption,0.3144,0.1597,10307,0.1069,0.0279,34.00127226,17.47025673,0.093,0.0219,29.58015267,13.71321227,0.1023,0.0245,32.53816794,15.34126487
Sierra Leone,SLE,2011,0,Sub-Saharan Africa,Low income,Africa,Consumption,0.3116,0.1583,1678,0.1424,0.0384,45.69961489,24.25773847,0.171,0.0474,54.87804878,29.94314593,0.1591,0.0418,51.05905006,26.40555907
Sierra Leone,SLE,2018,1,Sub-Saharan Africa,Low income,Africa,Consumption,0.3106,0.1583,10947,0.137,0.0348,44.10817772,21.98357549,0.1369,0.0358,44.07598197,22.61528743,0.1436,0.0357,46.23309723,22.55211623
Slovakia,SVK,2005,0,Europe & Central Asia,High income,Europe,Income,0.2719,0.1326,7665,0.0773,0.0096,28.42956969,7.239819005,0.0842,0.0114,30.96726738,8.597285068,0.0733,0.0095,26.9584406,7.164404223
Slovakia,SVK,2011,0,Europe & Central Asia,High income,Europe,Income,0.2637,0.1325,7190,0.0639,0.0068,24.23208191,5.132075472,0.064,0.0064,24.27000379,4.830188679,0.0646,0.0082,24.49753508,6.188679245
Slovakia,SVK,2019,1,Europe & Central Asia,High income,Europe,Income,0.2324,0.1072,6955,0.0702,0.0093,30.20654045,8.675373134,0.0746,0.0092,32.09982788,8.582089552,0.0862,0.0169,37.09122203,15.76492537
Slovenia,SVN,2005,0,Europe & Central Asia,High income,Europe,Income,0.2505,0.1194,6096,0.0947,0.0148,37.80439122,12.39530988,0.0947,0.0147,37.80439122,12.31155779,0.0998,0.0165,39.84031936,13.81909548
Slovenia,SVN,2011,0,Europe & Central Asia,High income,Europe,Income,0.2602,0.1236,5180,0.0726,0.0086,27.90161414,6.957928803,0.0815,0.0105,31.32205995,8.495145631,0.0689,0.008,26.47963105,6.472491909
Slovenia,SVN,2019,1,Europe & Central Asia,High income,Europe,Income,0.249,0.1103,7462,0.0819,0.0112,32.89156627,10.15412511,0.0865,0.0119,34.73895582,10.78875793,0.0915,0.0134,36.74698795,12.1486854
Sweden,SWE,2019,1,Europe & Central Asia,High income,Europe,Income,0.2755,0.166,2919,0.1041,0.0271,37.78584392,16.3253012,0.0938,0.0166,34.04718693,10,0.0994,0.0207,36.07985481,12.46987952
Togo,TGO,2018,1,Sub-Saharan Africa,Low income,Africa,Consumption,0.3815,0.2422,9552,0.1644,0.0442,43.09305374,18.24938068,0.1513,0.0373,39.65923984,15.40049546,0.152,0.0367,39.84272608,15.15276631
Tajikistan,TJK,2016,0,Europe & Central Asia,Lower middle income,LITS,Income,0.3427,0.1961,1110,NA,NA,NA,NA,0.0916,0.0136,26.72891742,6.935237124,0.0631,0.011,18.41260578,5.609382968
Timor Leste,TLS,2007,0,East Asia & Pacific,Lower middle income,Asia + Oceania,Consumption,0.293,0.1391,9438,0.1021,0.0184,34.84641638,13.2278936,0.0896,0.0144,30.58020478,10.35226456,0.1058,0.0182,36.10921502,13.08411215
Timor Leste,TLS,2014,1,East Asia & Pacific,Lower middle income,Asia + Oceania,Consumption,0.3177,0.1656,12618,0.0977,0.0167,30.75228203,10.08454106,0.0876,0.014,27.57318225,8.45410628,0.0962,0.0153,30.2801385,9.239130435
Tanzania,TZA,2009,0,Sub-Saharan Africa,Lower middle income,Africa,Consumption,0.3582,0.2107,4435,0.1494,0.0396,41.70854271,18.79449454,0.1726,0.048,48.1853713,22.78120551,0.1576,0.0423,43.99776661,20.07593735
Tanzania,TZA,2011,0,Sub-Saharan Africa,Lower middle income,Africa,Consumption,0.3765,0.236,4521,0.1759,0.0501,46.71978752,21.22881356,0.1959,0.0609,52.03187251,25.80508475,0.1826,0.0522,48.49933599,22.11864407
Tanzania,TZA,2013,1,Sub-Saharan Africa,Lower middle income,Africa,Consumption,0.3731,0.2348,4222,0.1616,0.0452,43.31278478,19.25042589,0.1726,0.0467,46.26105602,19.88926746,0.1709,0.0462,45.8054141,19.67632027
Uganda,UGA,2010,0,Sub-Saharan Africa,Low income,Africa,Consumption,0.4165,0.2925,4632,0.2259,0.0924,54.23769508,31.58974359,0.2274,0.0856,54.59783914,29.26495726,0.2244,0.086,53.87755102,29.4017094
Uganda,UGA,2011,0,Sub-Saharan Africa,Low income,Africa,Consumption,0.4671,0.3817,5009,0.265,0.1271,56.73303361,33.29840189,0.255,0.1097,54.59216442,28.73984805,0.2587,0.1122,55.38428602,29.39481268
Uganda,UGA,2012,0,Sub-Saharan Africa,Low income,Africa,Consumption,0.4453,0.3355,5927,0.2225,0.0821,49.96631484,24.4709389,0.2573,0.1074,57.78127105,32.0119225,0.242,0.0951,54.34538513,28.34575261
Uganda,UGA,2014,1,Sub-Saharan Africa,Low income,Africa,Consumption,0.3712,0.2285,4430,0.1666,0.0513,44.88146552,22.45076586,0.1781,0.0531,47.97952586,23.23851204,0.1769,0.0559,47.65625,24.46389497
United States of America,USA,1970,0,North America,High income,North America,Income,0.3003,0.1592,4112,0.1225,0.0258,40.79254079,16.20603015,0.1345,0.0301,44.78854479,18.90703518,0.1366,0.0324,45.48784549,20.35175879
United States of America,USA,1972,0,North America,High income,North America,Income,0.3045,0.1661,4524,0.1275,0.0269,41.87192118,16.19506321,0.1393,0.0319,45.74712644,19.20529801,0.1389,0.0336,45.61576355,20.22877784
United States of America,USA,1974,0,North America,High income,North America,Income,0.2987,0.1552,4842,0.1215,0.0243,40.67626381,15.65721649,0.131,0.0278,43.85671242,17.91237113,0.1247,0.0271,41.74757282,17.46134021
United States of America,USA,1976,0,North America,High income,North America,Income,0.2929,0.1517,5068,0.1114,0.0209,38.03345852,13.77719183,0.1202,0.0239,41.03789689,15.75477917,0.1174,0.0241,40.08193923,15.88661833
United States of America,USA,1978,0,North America,High income,North America,Income,0.2938,0.1516,5253,0.1064,0.0198,36.21511232,13.06068602,0.1183,0.0233,40.26548673,15.36939314,0.1174,0.0237,39.95915589,15.63324538
United States of America,USA,1980,0,North America,High income,North America,Income,0.3281,0.1923,5470,0.1057,0.0218,32.21578787,11.33645346,0.1324,0.0286,40.35355075,14.8725949,0.1411,0.0352,43.00518135,18.30473219
United States of America,USA,1982,0,North America,High income,North America,Income,0.3172,0.1787,5662,0.1283,0.0279,40.44766709,15.61275881,0.1371,0.0306,43.22194199,17.12367096,0.1305,0.03,41.14123581,16.7879127
United States of America,USA,1984,0,North America,High income,North America,Income,0.3449,0.2136,5794,0.1325,0.0312,38.41693244,14.60674157,0.1462,0.0351,42.38909829,16.43258427,0.1384,0.0335,40.12757321,15.6835206
United States of America,USA,1986,0,North America,High income,North America,Income,0.345,0.2105,5803,0.1513,0.0379,43.85507246,18.00475059,0.1549,0.039,44.89855072,18.52731591,0.147,0.037,42.60869565,17.57719715
United States of America,USA,1988,0,North America,High income,North America,Income,0.3892,0.2696,5950,0.1633,0.0479,41.95786228,17.76706231,0.1733,0.0505,44.52723535,18.73145401,0.1641,0.0476,42.16341213,17.65578635
United States of America,USA,1990,0,North America,High income,North America,Income,0.3653,0.2357,6092,0.1486,0.0373,40.67889406,15.82520153,0.1593,0.0415,43.60799343,17.6071277,0.1469,0.037,40.21352313,15.69792109
United States of America,USA,1992,0,North America,High income,North America,Income,0.3762,0.2593,6189,0.142,0.0347,37.74587985,13.3821828,0.1559,0.0411,41.44072302,15.85036637,0.1534,0.0433,40.77618288,16.69880447
United States of America,USA,1994,0,North America,High income,North America,Income,0.3792,0.2691,6810,0.1421,0.0342,37.47362869,12.7090301,0.1606,0.0425,42.35232068,15.79338536,0.1781,0.0813,46.96729958,30.21181717
United States of America,USA,1996,0,North America,High income,North America,Income,0.3673,0.2562,6344,0.1493,0.0379,40.64797169,14.79313037,0.1637,0.0446,44.56847264,17.40827479,0.1623,0.0505,44.18731282,19.71116315
United States of America,USA,1998,0,North America,High income,North America,Income,0.392,0.2964,6707,0.1302,0.0366,33.21428571,12.34817814,0.1698,0.0497,43.31632653,16.76788124,0.195,0.0856,49.74489796,28.87989204
United States of America,USA,2000,0,North America,High income,North America,Income,0.3844,0.2684,6599,0.149,0.038,38.76170656,14.15797317,0.1699,0.047,44.1987513,17.51117735,0.1577,0.0462,41.02497399,17.21311475
United States of America,USA,2002,0,North America,High income,North America,Income,0.3951,0.2967,6787,0.1609,0.0445,40.72386738,14.9983148,0.1894,0.0592,47.93723108,19.95281429,0.1922,0.0792,48.64591243,26.69362993
United States of America,USA,2004,0,North America,High income,North America,Income,0.4061,0.3083,8217,0.1497,0.0418,36.86284166,13.55822251,0.1753,0.051,43.16670771,16.5423289,0.2001,0.0903,49.27357794,29.28965294
United States of America,USA,2006,0,North America,High income,North America,Income,0.4306,0.3688,8289,0.1675,0.0473,38.8992104,12.82537961,0.1766,0.0513,41.01254064,13.90997831,0.1923,0.1077,44.65861588,29.20281996
United States of America,USA,2008,0,North America,High income,North America,Income,0.4029,0.3046,8478,0.1525,0.0386,37.85058327,12.67235719,0.1649,0.0445,40.92827004,14.6093237,0.1801,0.0764,44.70091834,25.08207485
United States of America,USA,2010,0,North America,High income,North America,Income,0.3996,0.3059,8346,0.1581,0.0441,39.56456456,14.41647597,0.1663,0.0452,41.61661662,14.77607061,0.1679,0.0571,42.01701702,18.66623079
United States of America,USA,2012,0,North America,High income,North America,Income,0.3998,0.3057,8164,0.1593,0.0426,39.84492246,13.93523062,0.17,0.0473,42.52126063,15.47268564,0.1801,0.1126,45.04752376,36.83349689
United States of America,USA,2014,0,North America,High income,North America,Income,0.3948,0.2902,7769,0.1502,0.0393,38.04457953,13.54238456,0.1641,0.0441,41.56534954,15.19641626,0.1645,0.0536,41.66666667,18.47002068
United States of America,USA,2016,0,North America,High income,North America,Income,0.3926,0.3145,9638,0.1478,0.036,37.6464595,11.44674086,0.1591,0.04,40.52470708,12.71860095,0.1753,0.0802,44.65104432,25.50079491
United States of America,USA,2018,1,North America,High income,North America,Income,0.3887,0.3006,9046,0.1433,0.0329,36.866478,10.94477711,0.1539,0.0369,39.59351685,12.2754491,0.1412,0.0522,36.32621559,17.36526946
Uzbekistan,UZB,2016,1,Europe & Central Asia,Lower middle income,Asia + Oceania,Income,0.4925,0.4148,1139,0.1069,0.0229,21.70558376,5.520732883,0.2004,0.062,40.69035533,14.94696239,0.1423,0.0407,28.89340102,9.81195757
South Africa,ZAF,2008,0,Sub-Saharan Africa,Upper middle income,Africa,Income,0.6475,0.8389,6156,0.4498,0.3476,69.46718147,41.43521278,0.4787,0.3849,73.93050193,45.8815115,0.5334,0.5335,82.37837838,63.59518417
South Africa,ZAF,2012,0,Sub-Saharan Africa,Upper middle income,Africa,Income,0.6174,0.7115,5392,0.4058,0.2874,65.72724328,40.39353479,0.4299,0.3006,69.63070943,42.2487702,0.4787,0.4048,77.53482345,56.89388616
South Africa,ZAF,2015,0,Sub-Saharan Africa,Upper middle income,Africa,Income,0.5737,0.5986,5840,0.3677,0.2273,64.09273139,37.97193451,0.3849,0.2416,67.09081401,40.36084196,0.385,0.2479,67.10824473,41.41329769
South Africa,ZAF,2017,1,Sub-Saharan Africa,Upper middle income,Africa,Income,0.6098,0.6903,7460,0.4154,0.2879,68.12069531,41.70650442,0.468,0.3597,76.74647425,52.10777923,0.4955,0.4131,81.25614956,59.84354628
